Lexikum,Rysy,MFW/N-gramy,Burrows Delta (%),Cosine Delta (%)
1_Surový text,Slova,50,94.47513812154696,95.02762430939227
1_Surový text,Slova,100,98.89502762430939,98.89502762430939
1_Surový text,Slova,200,99.4475138121547,99.4475138121547
1_Surový text,Slova,500,99.4475138121547,99.4475138121547
1_Surový text,Slova,1000,99.4475138121547,99.4475138121547
2_Lemmatizovaný text,Slova,50,93.92265193370166,97.23756906077348
2_Lemmatizovaný text,Slova,100,98.89502762430939,98.89502762430939
2_Lemmatizovaný text,Slova,200,98.34254143646409,98.34254143646409
2_Lemmatizovaný text,Slova,500,99.4475138121547,99.4475138121547
2_Lemmatizovaný text,Slova,1000,99.4475138121547,98.89502762430939
3_Pouze funkční slova,Slova,50,95.58011049723757,93.37016574585635
3_Pouze funkční slova,Slova,100,95.58011049723757,92.26519337016575
3_Pouze funkční slova,Slova,200,88.39779005524862,90.05524861878453
3_Pouze funkční slova,Slova,500,59.11602209944752,70.71823204419888
3_Pouze funkční slova,Slova,1000,38.67403314917127,54.14364640883977
4_Pouze plnovýznamová slova,Slova,50,88.39779005524862,89.50276243093923
4_Pouze plnovýznamová slova,Slova,100,96.13259668508287,96.68508287292818
4_Pouze plnovýznamová slova,Slova,200,97.23756906077348,97.79005524861878
4_Pouze plnovýznamová slova,Slova,500,98.89502762430939,98.89502762430939
4_Pouze plnovýznamová slova,Slova,1000,99.4475138121547,98.89502762430939
5_Znakové n-gramy,N-gramy,50,94.47513812154696,93.92265193370166
5_Znakové n-gramy,N-gramy,100,96.68508287292818,96.68508287292818
5_Znakové n-gramy,N-gramy,200,98.34254143646409,98.89502762430939
5_Znakové n-gramy,N-gramy,500,98.34254143646409,99.4475138121547
5_Znakové n-gramy,N-gramy,1000,98.34254143646409,99.4475138121547
